b,DRXFCSD,DRXFCLD
53420210,"b'CREAM PUFF, ECLAIR, CUSTARD OR CREAM FILLED, ICED, REDUCED F'","b'Cream puff, eclair, custard or cream filled, iced, reduced fat'"
53420250,"b'CREAM PUFF, NO FILLING OR ICING'","b'Cream puff, no filling or icing'"
53420400,"b'SOPAIPILLA, WITHOUT SYRUP OR HONEY'","b'Sopaipilla, without syrup or honey'"
53420410,b'SOPAIPILLA WITH SYRUP OR HONEY',b'Sopaipilla with syrup or honey'
53430100,"b'CREPE, CHOCOLATE FILLED'","b'Crepe, chocolate filled'"
53430200,"b'CREPE, FRUIT FILLED'","b'Crepe, fruit filled'"
53430700,"b'TAMALE, SWEET'","b'Tamale, sweet'"
53440000,"b'STRUDEL, APPLE'","b'Strudel, apple'"
53440300,"b'STRUDEL, BERRY'","b'Strudel, berry'"
53440500,"b'STRUDEL, CHERRY'","b'Strudel, cherry'"
53440600,"b'STRUDEL, CHEESE'","b'Strudel, cheese'"
53440700,"b'STRUDEL, PEACH'","b'Strudel, peach'"
53441110,b'BAKLAVA',b'Baklava'
53441210,b'BASBOUSA',b'Basbousa'
53450000,"b'TURNOVER, FRUIT'","b'Turnover, fruit'"
53452100,"b'PASTRY, FRUIT-FILLED'","b'Pastry, fruit-filled'"
53452120,"b'PASTRY, MADE WITH BEAN OR LOTUS SEED PASTE FILLING, BAKED'","b'Pastry, made with bean or lotus seed paste filling, baked'"
53452130,"b'PASTRY, MADE WITH BEAN PASTE AND SALTED EGG YOLK FILLING, BA'","b'Pastry, made with bean paste and salted egg yolk filling, baked'"
53452150,"b'PASTRY, CHINESE, MADE WITH RICE FLOUR'","b'Pastry, Chinese, made with rice flour'"
53452170,"b'PASTRY, COOKIE TYPE, FRIED'","b'Pastry, cookie type, fried'"
53452200,"b'PASTRY, ITALIAN, WITH CHEESE'","b'Pastry, Italian, with cheese'"
53452400,"b'PASTRY, PUFF'","b'Pastry, puff'"
53452420,"b'PASTRY, PUFF, CUSTARD OR CREAM FILLED, ICED OR NOT ICED'","b'Pastry, puff, custard or cream filled, iced or not iced'"
53452450,b'CHEESE PASTRY PUFFS',b'Cheese pastry puffs'
53452500,"b'PASTRY, MAINLY FLOUR AND WATER, FRIED'","b'Pastry, mainly flour and water, fried'"
53453150,"b'EMPANADA, FRUIT'","b'Empanada, fruit'"
53500100,"b'BREAKFAST PASTRY, NFS'","b'Breakfast pastry, NFS'"
53510000,"b'DANISH PASTRY, PLAIN OR SPICE'","b'Danish pastry, plain or spice'"
53510100,"b'DANISH PASTRY, WITH FRUIT'","b'Danish pastry, with fruit'"
53511000,"b'DANISH PASTRY, WITH CHEESE'","b'Danish pastry, with cheese'"
53520000,"b'DOUGHNUT, NFS'","b'Doughnut, NFS'"
53520100,"b'DOUGHNUT, CAKE TYPE, PLAIN'","b'Doughnut, cake type, plain'"
53520120,"b'DOUGHNUT, CHOCOLATE'","b'Doughnut, chocolate'"
53520130,"b'DOUGHNUT, CAKE TYPE, POWDERED SUGAR'","b'Doughnut, cake type, powdered sugar'"
53520135,"b'DOUGHNUT, CAKE TYPE, WITH ICING'","b'Doughnut, cake type, with icing'"
53520140,"b'DOUGHNUT, CAKE TYPE, CHOCOLATE ICING'","b'Doughnut, cake type, chocolate icing'"
53520160,"b'DOUGHNUT, CHOCOLATE, WITH CHOCOLATE ICING'","b'Doughnut, chocolate, with chocolate icing'"
53520170,b'DOUGHNUT HOLES',b'Doughnut holes'
53520200,b'CHURROS',b'Churros'
53520510,b'BEIGNET',b'Beignet'
53521110,"b'DOUGHNUT, YEAST TYPE'","b'Doughnut, yeast type'"
53521130,"b'DOUGHNUT, YEAST TYPE, WITH CHOCOLATE ICING'","b'Doughnut, yeast type, with chocolate icing'"
53521140,"b'DOUGHNUT, JELLY'","b'Doughnut, jelly'"
53521210,"b'DOUGHNUT, CUSTARD-FILLED'","b'Doughnut, custard-filled'"
53521230,"b'DOUGHNUT, CUSTARD-FILLED, WITH ICING'","b'Doughnut, custard-filled, with icing'"
53530000,b'BREAKFAST TART',b'Breakfast tart'
53530010,"b'BREAKFAST TART, LOWFAT'","b'Breakfast tart, lowfat'"
53610100,"b'COFFEE CAKE, CRUMB OR QUICK-BREAD TYPE'","b'Coffee cake, crumb or quick-bread type'"
53610170,"b'COFFEE CAKE, CRUMB OR QUICK-BREAD TYPE, WITH FRUIT'","b'Coffee cake, crumb or quick-bread type, with fruit'"
53610200,"b'COFFEE CAKE, CRUMB OR QUICK-BREAD TYPE, CHEESE-FILLED'","b'Coffee cake, crumb or quick-bread type, cheese-filled'"
53710400,b'CEREAL OR GRANOLA BAR (GENERAL MILLS FIBER ONE CHEWY BAR)',b'Cereal or granola bar (General Mills Fiber One Chewy Bar)'
53710500,"b""CEREAL OR GRANOLA BAR (KELLOGG'S NUTRI-GRAIN CEREAL BAR)""","b""Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar)"""
53710502,"b""CEREAL OR GRANOLA BAR (KELLOGG'S NUTRI-GRAIN YOGURT BAR)""","b""Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar)"""
53710504,"b""CEREAL OR GRANOLA BAR (KELLOGG'S NUTRI-GRAIN FRUIT AND NUT B""","b""Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar)"""
53710600,"b""MILK 'N CEREAL BAR""","b""Milk 'n Cereal bar"""
53710700,"b""CEREAL OR GRANOLA BAR (KELLOGG'S SPECIAL K BAR)""","b""Cereal or granola bar (Kellogg's Special K bar)"""
53710800,b'CEREAL OR GRANOLA BAR (KASHI CHEWY)',b'Cereal or granola bar (Kashi Chewy)'
53710802,b'CEREAL OR GRANOLA BAR (KASHI CRUNCHY)',b'Cereal or granola bar (Kashi Crunchy)'
53710810,b'CEREAL OR GRANOLA BAR (KIND FRUIT AND NUT BAR)',b'Cereal or granola bar (KIND Fruit and Nut Bar)'
53710900,b'CEREAL OR GRANOLA BAR (GENERAL MILLS NATURE VALLEY CHEWY TRA',b'Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix)'
53710902,"b'CEREAL OR GRANOLA BAR, WITH YOGURT COATING (GENERAL MILLS NA'","b'Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)'"
53710904,b'CEREAL OR GRANOLA BAR (GENERAL MILLS NATURE VALLEY SWEET AND',b'Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar)'
53710906,b'CEREAL OR GRANOLA BAR (GENERAL MILLS NATURE VALLEY CRUNCHY G',b'Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)'
53711000,b'CEREAL OR GRANOLA BAR (QUAKER CHEWY GRANOLA BAR)',b'Cereal or granola bar (Quaker Chewy Granola Bar)'
53711002,b'CEREAL OR GRANOLA BAR (QUAKER CHEWY 90 CALORIE GRANOLA BAR)',b'Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar)'
53711004,b'CEREAL OR GRANOLA BAR (QUAKER CHEWY 25% LESS SUGAR GRANOLA B',b'Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar)'
53711006,b'CEREAL OR GRANOLA BAR (QUAKER CHEWY DIPPS GRANOLA BAR)',b'Cereal or granola bar (Quaker Chewy Dipps Granola Bar)'
53711100,b'CEREAL OR GRANOLA BAR (QUAKER GRANOLA BITES)',b'Cereal or granola bar (Quaker Granola Bites)'
53712000,"b'SNACK BAR, OATMEAL'","b'Snack bar, oatmeal'"
53712100,"b'CEREAL OR GRANOLA BAR, NFS'","b'Cereal or Granola bar, NFS'"
53712200,"b'CEREAL OR GRANOLA BAR, LOWFAT, NFS'","b'Cereal or granola bar, lowfat, NFS'"
53712210,"b'CEREAL OR GRANOLA BAR, NONFAT'","b'Cereal or granola bar, nonfat'"
53713000,"b'CEREAL OR GRANOLA BAR, REDUCED SUGAR, NFS'","b'Cereal or granola bar, reduced sugar, NFS'"
53713010,"b'CEREAL OR GRANOLA BAR, FRUIT AND NUT'","b'Cereal or granola bar, fruit and nut'"
53713100,"b'CEREAL OR GRANOLA BAR, PEANUTS , OATS, SUGAR, WHEAT GERM'","b'Cereal or granola bar, peanuts , oats, sugar, wheat germ'"
53714200,"b'CEREAL OR GRANOLA BAR, CHOCOLATE COATED, NFS'","b'Cereal or granola bar, chocolate coated, NFS'"
53714210,"b'CEREAL OR GRANOLA BAR, WITH COCONUT, CHOCOLATE COATED'","b'Cereal or granola bar, with coconut, chocolate coated'"
53714220,"b'CEREAL OR GRANOLA BAR WITH NUTS, CHOCOLATE COATED'","b'Cereal or granola bar with nuts, chocolate coated'"
53714230,"b'CEREAL OR GRANOLA BAR, OATS, NUTS, COATED WITH NON-CHOCOLATE'","b'Cereal or granola bar, oats, nuts, coated with non-chocolate coating'"
53714250,"b'CEREAL OR GRANOLA BAR, COATED WITH NON-CHOCOLATE COATING'","b'Cereal or granola bar, coated with non-chocolate coating'"
53714300,"b'CEREAL OR GRANOLA BAR, HIGH FIBER, COATED WITH NON-CHOCOLATE'","b'Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating'"
53714400,"b'CEREAL OR GRANOLA BAR, WITH RICE CEREAL'","b'Cereal or granola bar, with rice cereal'"
53714500,"b'BREAKFAST BAR, NFS'","b'Breakfast bar, NFS'"
53714510,"b'BREAKFAST BAR, DATE, WITH YOGURT COATING'","b'Breakfast bar, date, with yogurt coating'"
53714520,"b'BREAKFAST BAR, CEREAL CRUST WITH FRUIT FILLING, LOWFAT'","b'Breakfast bar, cereal crust with fruit filling, lowfat'"
53720100,b'NUTRITION BAR (BALANCE ORIGINAL BAR)',b'Nutrition bar (Balance Original Bar)'
53720200,b'NUTRITION BAR (CLIF BAR)',b'Nutrition bar (Clif Bar)'
53720210,b'NUTRITION BAR (CLIF KIDS ORGANIC ZBAR)',b'Nutrition bar (Clif Kids Organic Zbar)'
53720300,b'NUTRITION BAR (POWERBAR)',b'Nutrition bar (PowerBar)'
53720400,b'NUTRITION BAR (SLIM FAST ORIGINAL MEAL BAR)',b'Nutrition bar (Slim Fast Original Meal Bar)'
53720500,b'NUTRITION BAR (SNICKERS MARATHON PROTEIN BAR)',b'Nutrition bar (Snickers Marathon Protein Bar)'
53720600,b'NUTRITION BAR (SOUTH BEACH LIVING MEAL BAR)',b'Nutrition bar (South Beach Living Meal Bar)'
53720610,b'NUTRITION BAR (SOUTH BEACH LIVING HIGH PROTEIN BAR)',b'Nutrition bar (South Beach Living High Protein Bar)'
53720700,"b""NUTRITION BAR (TIGER'S MILK)""","b""Nutrition bar (Tiger's Milk)"""
53720800,b'NUTRITION BAR (ZONE PERFECT CLASSIC CRUNCH)',b'Nutrition bar (Zone Perfect Classic Crunch)'
53729000,"b'NUTRITION BAR OR MEAL REPLACEMENT BAR, NFS'","b'Nutrition bar or meal replacement bar, NFS'"
53800000,"b'BABY TODDLER SNACK, NFS'","b'Baby Toddler snack, NFS'"
53801000,b'BABY TODDLER BAR',b'Baby Toddler bar'
53803100,b'BABY TODDLER COOKIE',b'Baby Toddler cookie'
53803300,b'BABY TODDLER BISCUIT',b'Baby Toddler biscuit'
54001000,"b'CRACKERS, NFS'","b'Crackers, NFS'"
54102010,b'GRAHAM CRACKERS',b'Graham crackers'
54102015,b'GRAHAM CRACKERS (TEDDY GRAHAMS)',b'Graham crackers (Teddy Grahams)'
54102020,"b'GRAHAM CRACKERS, CHOCOLATE COVERED'","b'Graham crackers, chocolate covered'"
54102050,"b'CRACKERS, OATMEAL'","b'Crackers, oatmeal'"
54102060,"b'CRACKERS, CUBAN'","b'Crackers, Cuban'"
54102100,"b'GRAHAM CRACKERS, REDUCED FAT'","b'Graham crackers, reduced fat'"
54102200,"b'GRAHAM CRACKERS, SANDWICH, WITH FILLING'","b'Graham crackers, sandwich, with filling'"
54103000,"b'CRACKERS, BREAKFAST BISCUIT'","b'Crackers, breakfast biscuit'"
54200100,"b'CRACKERS, BUTTER, REDUCED SODIUM'","b'Crackers, butter, reduced sodium'"
54201010,"b'CRACKERS, MATZO, REDUCED SODIUM'","b'Crackers, matzo, reduced sodium'"
54202020,"b'CRACKERS, SALTINE, REDUCED SODIUM'","b'Crackers, saltine, reduced sodium'"
54204020,"b'CRACKERS, WHEAT, REDUCED SODIUM'","b'Crackers, wheat, reduced sodium'"
54204030,"b'CRACKERS, WOVEN WHEAT, REDUCED SODIUM'","b'Crackers, woven wheat, reduced sodium'"
54301010,"b'CRACKERS, BUTTER, PLAIN'","b'Crackers, butter, plain'"
54301020,"b'CRACKERS, BUTTER, FLAVORED'","b'Crackers, butter, flavored'"
54301030,"b'CRACKERS, BUTTER (RITZ)'","b'Crackers, butter (Ritz)'"
54301100,"b'CRACKERS, BUTTER, REDUCED FAT'","b'Crackers, butter, reduced fat'"
54304000,"b'CRACKERS, CHEESE'","b'Crackers, cheese'"
54304005,"b'CRACKERS, CHEESE (CHEEZ-IT)'","b'Crackers, cheese (Cheez-It)'"
54304020,"b'CRACKERS, CHEESE (GOLDFISH)'","b'Crackers, cheese (Goldfish)'"
54304100,"b'CRACKERS, CHEESE, REDUCED FAT'","b'Crackers, cheese, reduced fat'"
54304110,"b'CRACKERS, CHEESE, REDUCED SODIUM'","b'Crackers, cheese, reduced sodium'"
54304150,"b'CRACKERS, CHEESE, WHOLE GRAIN'","b'Crackers, cheese, whole grain'"
54305010,"b'CRACKERS, CRISPBREAD'","b'Crackers, crispbread'"
54305020,"b'CRACKERS, FLATBREAD'","b'Crackers, flatbread'"
54307000,"b'CRACKERS, MATZO'","b'Crackers, matzo'"
54308000,"b'CRACKERS, MILK'","b'Crackers, milk'"
54313000,"b'CRACKERS, OYSTER'","b'Crackers, oyster'"
54318000,"b'CHIPS, RICE'","b'Chips, rice'"
54318500,b'RICE CAKE',b'Rice cake'
54319000,"b'CRACKERS, RICE'","b'Crackers, rice'"
54319005,"b'CRACKERS, RICE AND NUTS'","b'Crackers, rice and nuts'"
54319020,b'POPCORN CAKE',b'Popcorn cake'
54319500,b'RICE PAPER',b'Rice paper'
54325000,"b'CRACKERS, SALTINE'","b'Crackers, saltine'"
54325010,"b'CRACKERS, SALTINE, REDUCED FAT'","b'Crackers, saltine, reduced fat'"
54325060,"b'CRACKERS, SALTINE, MULTIGRAIN'","b'Crackers, saltine, multigrain'"
54326000,"b'CRACKERS, MULTIGRAIN'","b'Crackers, multigrain'"
54328000,"b'CRACKERS, SANDWICH'","b'Crackers, sandwich'"
54328100,"b'CRACKERS, SANDWICH, PEANUT BUTTER FILLED'","b'Crackers, sandwich, peanut butter filled'"
54328105,"b'CRACKERS, SANDWICH, PEANUT BUTTER FILLED (RITZ)'","b'Crackers, sandwich, peanut butter filled (Ritz)'"
54328110,"b'CRACKERS, SANDWICH, REDUCED FAT, PEANUT BUTTER FILLED'","b'Crackers, sandwich, reduced fat, peanut butter filled'"
54328120,"b'CRACKERS, WHOLE GRAIN, SANDWICH, PEANUT BUTTER FILLED'","b'Crackers, whole grain, sandwich, peanut butter filled'"
54328200,"b'CRACKERS, SANDWICH, CHEESE FILLED'","b'Crackers, sandwich, cheese filled'"
54328210,"b'CRACKERS, SANDWICH, CHEESE FILLED (RITZ)'","b'Crackers, sandwich, cheese filled (Ritz)'"
54336000,"b'CRACKERS, WATER'","b'Crackers, water'"
54336100,"b'CRACKERS, WONTON'","b'Crackers, wonton'"
54337010,"b'CRACKERS, WOVEN WHEAT'","b'Crackers, woven wheat'"
54337020,"b'CRACKERS, WOVEN WHEAT, PLAIN (TRISCUIT)'","b'Crackers, woven wheat, plain (Triscuit)'"
54337030,"b'CRACKERS, WOVEN WHEAT, FLAVORED (TRISCUIT)'","b'Crackers, woven wheat, flavored (Triscuit)'"
54337060,"b'CRACKERS, WOVEN WHEAT, REDUCED FAT'","b'Crackers, woven wheat, reduced fat'"
54338000,"b'CRACKERS, WHEAT'","b'Crackers, wheat'"
54338010,"b'CRACKERS, WHEAT, PLAIN (WHEAT THINS)'","b'Crackers, wheat, plain (Wheat Thins)'"
54338020,"b'CRACKERS, WHEAT, FLAVORED (WHEAT THINS)'","b'Crackers, wheat, flavored (Wheat Thins)'"
54338100,"b'CRACKERS, WHEAT, REDUCED FAT'","b'Crackers, wheat, reduced fat'"
54340100,"b'CRACKERS, GLUTEN FREE, PLAIN'","b'Crackers, gluten free, plain'"
54340110,"b'CRACKERS, GLUTEN FREE, FLAVORED'","b'Crackers, gluten free, flavored'"
54350000,b'BABY TODDLER CRACKERS',b'Baby Toddler crackers'
54350100,"b'BABY TODDLER PUFFS, FRUIT'","b'Baby Toddler puffs, fruit'"
54350200,"b'BABY TODDLER PUFFS, VEGETABLE'","b'Baby Toddler puffs, vegetable'"
54360000,b'BABY TODDLER CRUNCHIES',b'Baby Toddler crunchies'
54360100,b'BABY TODDLER WHEELS',b'Baby Toddler wheels'
54401011,b'CORN NUTS',b'Corn nuts'
54401021,"b'CORN CHIPS, PLAIN'","b'Corn chips, plain'"
54401026,"b'CORN CHIPS, FLAVORED'","b'Corn chips, flavored'"
54401031,"b'CORN CHIPS, PLAIN (FRITOS)'","b'Corn chips, plain (Fritos)'"
54401035,"b'CORN CHIPS, FLAVORED (FRITOS)'","b'Corn chips, flavored (Fritos)'"
54401055,b'CHEESE FLAVORED CORN SNACKS',b'Cheese flavored corn snacks'
54401065,"b'CHEESE FLAVORED CORN SNACKS, REDUCED FAT'","b'Cheese flavored corn snacks, reduced fat'"
54401075,"b'TORTILLA CHIPS, PLAIN'","b'Tortilla chips, plain'"
54401081,b'CHEESE FLAVORED CORN SNACKS (CHEETOS)',b'Cheese flavored corn snacks (Cheetos)'
54401085,"b'TORTILLA CHIPS, FLAVORED'","b'Tortilla chips, flavored'"
54401090,"b'CORN CHIPS, REDUCED SODIUM'","b'Corn chips, reduced sodium'"
54401110,"b'TORTILLA CHIPS, NACHO CHEESE FLAVOR (DORITOS)'","b'Tortilla chips, nacho cheese flavor (Doritos)'"
54401111,"b'TORTILLA CHIPS, COOL RANCH FLAVOR (DORITOS)'","b'Tortilla chips, cool ranch flavor (Doritos)'"
54401112,"b'TORTILLA CHIPS, OTHER FLAVORS (DORITOS)'","b'Tortilla chips, other flavors (Doritos)'"
54401121,"b'TORTILLA CHIPS, REDUCED FAT, PLAIN'","b'Tortilla chips, reduced fat, plain'"
54401122,"b'TORTILLA CHIPS, REDUCED FAT, FLAVORED'","b'Tortilla chips, reduced fat, flavored'"
54401170,"b'TORTILLA CHIPS, LOW FAT, UNSALTED'","b'Tortilla chips, low fat, unsalted'"
54402080,"b'TORTILLA CHIPS, REDUCED SODIUM'","b'Tortilla chips, reduced sodium'"
54402200,b'SNACK MIX',b'Snack mix'
54402610,"b'POTATO CHIPS, RESTRUCTURED, MULTIGRAIN'","b'Potato chips, restructured, multigrain'"
54402700,b'PITA CHIPS',b'Pita chips'
54403001,"b'POPCORN, NFS'","b'Popcorn, NFS'"
54403005,"b'POPCORN, MOVIE THEATER, WITH ADDED BUTTER'","b'Popcorn, movie theater, with added butter'"
54403006,"b'POPCORN, MOVIE THEATER, NO BUTTER ADDED'","b'Popcorn, movie theater, no butter added'"
54403010,"b'POPCORN, AIR-POPPED, NO BUTTER ADDED'","b'Popcorn, air-popped, no butter added'"
54403040,"b'POPCORN, AIR-POPPED, WITH ADDED BUTTER'","b'Popcorn, air-popped, with added butter'"
54403045,"b'POPCORN, POPPED IN OIL, NO BUTTER ADDED'","b'Popcorn, popped in oil, no butter added'"
54403046,"b'POPCORN, POPPED IN OIL, WITH ADDED BUTTER'","b'Popcorn, popped in oil, with added butter'"
54403051,"b'POPCORN, MICROWAVE, NFS'","b'Popcorn, microwave, NFS'"
54403052,"b'POPCORN, MICROWAVE, PLAIN'","b'Popcorn, microwave, plain'"
54403053,"b'POPCORN, MICROWAVE, PLAIN, LIGHT'","b'Popcorn, microwave, plain, light'"
54403054,"b'POPCORN, MICROWAVE, LOW SODIUM'","b'Popcorn, microwave, low sodium'"
54403056,"b'POPCORN, MICROWAVE, BUTTER FLAVORED'","b'Popcorn, microwave, butter flavored'"
54403057,"b'POPCORN, MICROWAVE, FLAVORED, LIGHT'","b'Popcorn, microwave, flavored, light'"
54403058,"b'POPCORN, MICROWAVE, CHEESE FLAVORED'","b'Popcorn, microwave, cheese flavored'"
54403059,"b'POPCORN, MICROWAVE, KETTLE'","b'Popcorn, microwave, kettle'"
54403080,"b'POPCORN, READY-TO-EAT, NFS'","b'Popcorn, ready-to-eat, NFS'"
54403081,"b'POPCORN, READY-TO-EAT, PLAIN'","b'Popcorn, ready-to-eat, plain'"
54403082,"b'POPCORN, READY-TO-EAT, PLAIN, LIGHT'","b'Popcorn, ready-to-eat, plain, light'"
54403083,"b'POPCORN, READY-TO-EAT, LOW SODIUM'","b'Popcorn, ready-to-eat, low sodium'"
54403085,"b'POPCORN, READY-TO-EAT, BUTTER FLAVORED'","b'Popcorn, ready-to-eat, butter flavored'"
54403087,"b'POPCORN, READY-TO-EAT, CHEESE FLAVORED'","b'Popcorn, ready-to-eat, cheese flavored'"
54403088,"b'POPCORN, READY-TO-EAT, FLAVORED, LIGHT'","b'Popcorn, ready-to-eat, flavored, light'"
54403089,"b'POPCORN, READY-TO-EAT, KETTLE'","b'Popcorn, ready-to-eat, kettle'"
54403110,"b'POPCORN, CARAMEL COATED'","b'Popcorn, caramel coated'"
54403120,"b'POPCORN, CARAMEL COATED, WITH NUTS'","b'Popcorn, caramel coated, with nuts'"
54403160,"b'POPCORN, CHOCOLATE COATED'","b'Popcorn, chocolate coated'"
54404000,"b'POPCORN CHIPS, PLAIN'","b'Popcorn chips, plain'"
54404010,"b'POPCORN CHIPS, OTHER FLAVORS'","b'Popcorn chips, other flavors'"
54404020,"b'POPCORN CHIPS, SWEET FLAVORS'","b'Popcorn chips, sweet flavors'"
54406010,b'ONION FLAVORED RINGS',b'Onion flavored rings'
54406200,b'SHRIMP CHIPS',b'Shrimp chips'
54408000,"b'PRETZELS, NFS'","b'Pretzels, NFS'"
54408015,"b'PRETZELS, HARD, NFS'","b'Pretzels, hard, NFS'"
54408016,"b'PRETZELS, HARD, PLAIN, SALTED'","b'Pretzels, hard, plain, salted'"
54408017,"b'PRETZELS, HARD, PLAIN, LIGHTLY SALTED'","b'Pretzels, hard, plain, lightly salted'"
54408030,"b'PRETZELS, HARD, PLAIN, UNSALTED'","b'Pretzels, hard, plain, unsalted'"
54408035,"b'PRETZELS, HARD, FLAVORED'","b'Pretzels, hard, flavored'"
54408070,"b'PRETZELS, HARD, MULTIGRAIN'","b'Pretzels, hard, multigrain'"
54408081,"b'PRETZELS, HARD, PLAIN, GLUTEN FREE'","b'Pretzels, hard, plain, gluten free'"
54408082,"b'PRETZELS, HARD, FLAVORED, GLUTEN FREE'","b'Pretzels, hard, flavored, gluten free'"
54408105,"b'PRETZEL CHIPS, HARD, PLAIN'","b'Pretzel chips, hard, plain'"
54408110,"b'PRETZEL CHIPS, HARD, FLAVORED'","b'Pretzel chips, hard, flavored'"
54408115,"b'PRETZEL CHIPS, HARD, GLUTEN FREE'","b'Pretzel chips, hard, gluten free'"
54408190,"b'PRETZELS, HARD, COATED, NFS'","b'Pretzels, hard, coated, NFS'"
54408200,"b'PRETZELS, HARD, CHOCOLATE COATED'","b'Pretzels, hard, chocolate coated'"
54408210,"b'PRETZELS, HARD, WHITE CHOCOLATE COATED'","b'Pretzels, hard, white chocolate coated'"
54408250,"b'PRETZELS, HARD, YOGURT COATED'","b'Pretzels, hard, yogurt coated'"
54408260,"b'PRETZELS, HARD, COATED, GLUTEN FREE'","b'Pretzels, hard, coated, gluten free'"
54408290,"b'PRETZELS, HARD, FILLED, NFS'","b'Pretzels, hard, filled, NFS'"
54408300,"b'PRETZELS, HARD, CHEESE FILLED'","b'Pretzels, hard, cheese filled'"
54408310,"b'PRETZELS, HARD, PEANUT BUTTER FILLED'","b'Pretzels, hard, peanut butter filled'"
54408400,"b'PRETZELS, SOFT, NFS'","b'Pretzels, soft, NFS'"
54408405,"b'PRETZELS, SOFT, READY-TO-EAT, NFS'","b'Pretzels, soft, ready-to-eat, NFS'"
54408410,"b'PRETZELS, SOFT, READY-TO-EAT, SALTED, BUTTERED'","b'Pretzels, soft, ready-to-eat, salted, buttered'"
54408411,"b'PRETZELS, SOFT, READY-TO-EAT, UNSALTED, BUTTERED'","b'Pretzels, soft, ready-to-eat, unsalted, buttered'"
54408415,"b'PRETZELS, SOFT, READY-TO-EAT, SALTED, NO BUTTER'","b'Pretzels, soft, ready-to-eat, salted, no butter'"
54408416,"b'PRETZELS, SOFT, READY-TO-EAT, UNSALTED, NO BUTTER'","b'Pretzels, soft, ready-to-eat, unsalted, no butter'"
54408420,"b'PRETZELS, SOFT, READY-TO-EAT, CINNAMON SUGAR COATED'","b'Pretzels, soft, ready-to-eat, cinnamon sugar coated'"
54408422,"b'PRETZELS, SOFT, READY-TO-EAT, COATED OR FLAVORED'","b'Pretzels, soft, ready-to-eat, coated or flavored'"
54408430,"b'PRETZELS, SOFT, READY-TO-EAT, TOPPED WITH MEAT'","b'Pretzels, soft, ready-to-eat, topped with meat'"
54408432,"b'PRETZELS, SOFT, READY-TO-EAT, TOPPED WITH CHEESE'","b'Pretzels, soft, ready-to-eat, topped with cheese'"
54408450,"b'PRETZELS, SOFT, FROM FROZEN, NFS'","b'Pretzels, soft, from frozen, NFS'"
54408455,"b'PRETZELS, SOFT, FROM FROZEN, SALTED'","b'Pretzels, soft, from frozen, salted'"
54408456,"b'PRETZELS, SOFT, FROM FROZEN, UNSALTED'","b'Pretzels, soft, from frozen, unsalted'"
54408460,"b'PRETZELS, SOFT, FROM FROZEN, CINNAMON SUGAR COATED'","b'Pretzels, soft, from frozen, cinnamon sugar coated'"
54408462,"b'PRETZELS, SOFT, FROM FROZEN, COATED OR FLAVORED'","b'Pretzels, soft, from frozen, coated or flavored'"
54408465,"b'PRETZELS, SOFT, FROM FROZEN, TOPPED WITH MEAT'","b'Pretzels, soft, from frozen, topped with meat'"
54408466,"b'PRETZELS, SOFT, FROM FROZEN, TOPPED WITH CHEESE'","b'Pretzels, soft, from frozen, topped with cheese'"
54408470,"b'PRETZELS, SOFT, FILLED WITH CHEESE'","b'Pretzels, soft, filled with cheese'"
54408475,"b'PRETZELS, SOFT, FROM SCHOOL LUNCH'","b'Pretzels, soft, from school lunch'"
54408480,"b'PRETZELS, SOFT, MULTIGRAIN'","b'Pretzels, soft, multigrain'"
54408485,"b'PRETZELS, SOFT, GLUTEN FREE'","b'Pretzels, soft, gluten free'"
54408486,"b'PRETZELS, SOFT, GLUTEN FREE, CINNAMON SUGAR COATED'","b'Pretzels, soft, gluten free, cinnamon sugar coated'"
54408487,"b'PRETZELS, SOFT, GLUTEN FREE, COATED OR FLAVORED'","b'Pretzels, soft, gluten free, coated or flavored'"
54420210,b'MULTIGRAIN CHIPS (SUN CHIPS)',b'Multigrain chips (Sun Chips)'
54420220,"b'SNACK MIX, PLAIN (CHEX MIX)'","b'Snack mix, plain (Chex Mix)'"
54440010,b'BAGEL CHIPS',b'Bagel chips'
54440020,b'CRACKER CHIPS',b'Cracker chips'
55100005,"b'PANCAKES, NFS'","b'Pancakes, NFS'"
55100010,"b'PANCAKES, PLAIN, FROZEN'","b'Pancakes, plain, frozen'"
55100020,"b'PANCAKES, FRUIT, FROZEN'","b'Pancakes, fruit, frozen'"
55100025,"b'PANCAKES, CHOCOLATE, FROZEN'","b'Pancakes, chocolate, frozen'"
55100030,"b'PANCAKES, WHOLE GRAIN, FROZEN'","b'Pancakes, whole grain, frozen'"
55100050,"b'PANCAKES, PLAIN, FAST FOOD / RESTAURANT'","b'Pancakes, plain, fast food / restaurant'"
55100055,"b'PANCAKES, FRUIT, FAST FOOD / RESTAURANT'","b'Pancakes, fruit, fast food / restaurant'"
