b,DRXFCSD,DRXFCLD
11514325,"b'HOT CHOCOLATE / COCOA, REDUCED SUGAR, MADE WITH NON-DAIRY MI'","b'Hot chocolate / cocoa, reduced sugar, made with non-dairy milk'"
11514330,"b'HOT CHOCOLATE / COCOA, REDUCED SUGAR, MADE WITH WHOLE OR RED'","b'Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk'"
11514340,"b'HOT CHOCOLATE / COCOA, DRY MIX, REDUCED SUGAR, MADE WITH LOW'","b'Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk'"
11514350,"b'HOT CHOCOLATE / COCOA, REDUCED SUGAR, MADE WITH LOWFAT (1%)'","b'Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk'"
11514360,"b'HOT CHOCOLATE / COCOA, DRY MIX, REDUCED SUGAR, MADE WITH NON'","b'Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk'"
11519040,"b'STRAWBERRY MILK, NFS'","b'Strawberry milk, NFS'"
11519050,"b'STRAWBERRY MILK, WHOLE'","b'Strawberry milk, whole'"
11519105,"b'STRAWBERRY MILK, REDUCED FAT (2%)'","b'Strawberry milk, reduced fat (2%)'"
11519200,"b'STRAWBERRY MILK, LOW FAT (1%)'","b'Strawberry milk, low fat (1%)'"
11519205,"b'STRAWBERRY MILK, FAT FREE  (SKIM)'","b'Strawberry milk, fat free  (skim)'"
11519210,"b'STRAWBERRY MILK, REDUCED SUGAR'","b'Strawberry milk, reduced sugar'"
11526000,"b'MILK, MALTED'","b'Milk, malted'"
11531000,b'EGGNOG',b'Eggnog'
11541110,"b'MILK SHAKE, HOME RECIPE, CHOCOLATE'","b'Milk shake, home recipe, chocolate'"
11541120,"b'MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE'","b'Milk shake, home recipe, flavors other than chocolate'"
11541130,"b'MILK SHAKE, HOME RECIPE, CHOCOLATE, LIGHT'","b'Milk shake, home recipe, chocolate, light'"
11541135,"b'MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE, LIGHT'","b'Milk shake, home recipe, flavors other than chocolate, light'"
11541400,b'MILK SHAKE WITH MALT',b'Milk shake with malt'
11542100,"b'MILK SHAKE, FAST FOOD, CHOCOLATE'","b'Milk shake, fast food, chocolate'"
11542200,"b'MILK SHAKE, FAST FOOD, FLAVORS OTHER THAN CHOCOLATE'","b'Milk shake, fast food, flavors other than chocolate'"
